Profundidad;Valor;Tipo;Pozo
5005;3;RT3_POR;LLANITO-121
5006;3;RT3_POR;LLANITO-121
5006;2;RT3_POR;LLANITO-121
5007;1;RT3_POR;LLANITO-121
5007;1;RT3_POR;LLANITO-121
5008;1;RT3_POR;LLANITO-121
5008;1;RT3_POR;LLANITO-121
5009;1;RT3_POR;LLANITO-121
5009;1;RT3_POR;LLANITO-121
5010;1;RT3_POR;LLANITO-121
5010;2;RT3_POR;LLANITO-121
5011;2;RT3_POR;LLANITO-121
5011;3;RT3_POR;LLANITO-121
5012;3;RT3_POR;LLANITO-121
5012;3;RT3_POR;LLANITO-121
5013;2;RT3_POR;LLANITO-121
5013;1;RT3_POR;LLANITO-121
5014;1;RT3_POR;LLANITO-121
5014;1;RT3_POR;LLANITO-121
5015;1;RT3_POR;LLANITO-121
5015;1;RT3_POR;LLANITO-121
5016;2;RT3_POR;LLANITO-121
5016;2;RT3_POR;LLANITO-121
5017;2;RT3_POR;LLANITO-121
5017;2;RT3_POR;LLANITO-121
5018;3;RT3_POR;LLANITO-121
5018;3;RT3_POR;LLANITO-121
5019;2;RT3_POR;LLANITO-121
5019;2;RT3_POR;LLANITO-121
5020;2;RT3_POR;LLANITO-121
5020;2;RT3_POR;LLANITO-121
5021;2;RT3_POR;LLANITO-121
5021;2;RT3_POR;LLANITO-121
5022;2;RT3_POR;LLANITO-121
5022;3;RT3_POR;LLANITO-121
5023;3;RT3_POR;LLANITO-121
5023;3;RT3_POR;LLANITO-121
5024;3;RT3_POR;LLANITO-121
5024;3;RT3_POR;LLANITO-121
5025;3;RT3_POR;LLANITO-121
5025;3;RT3_POR;LLANITO-121
5026;2;RT3_POR;LLANITO-121
5026;2;RT3_POR;LLANITO-121
5027;2;RT3_POR;LLANITO-121
5027;2;RT3_POR;LLANITO-121
5028;2;RT3_POR;LLANITO-121
5028;2;RT3_POR;LLANITO-121
5029;2;RT3_POR;LLANITO-121
5029;2;RT3_POR;LLANITO-121
5030;2;RT3_POR;LLANITO-121
5030;2;RT3_POR;LLANITO-121
5031;2;RT3_POR;LLANITO-121
5031;1;RT3_POR;LLANITO-121
5032;1;RT3_POR;LLANITO-121
5032;1;RT3_POR;LLANITO-121
5033;1;RT3_POR;LLANITO-121
5033;1;RT3_POR;LLANITO-121
5034;1;RT3_POR;LLANITO-121
5034;1;RT3_POR;LLANITO-121
5035;1;RT3_POR;LLANITO-121
5035;2;RT3_POR;LLANITO-121
5036;3;RT3_POR;LLANITO-121
5036;3;RT3_POR;LLANITO-121
5037;3;RT3_POR;LLANITO-121
5037;3;RT3_POR;LLANITO-121
5038;3;RT3_POR;LLANITO-121
5038;3;RT3_POR;LLANITO-121
5039;3;RT3_POR;LLANITO-121
5039;3;RT3_POR;LLANITO-121
5040;3;RT3_POR;LLANITO-121
5040;3;RT3_POR;LLANITO-121
5041;3;RT3_POR;LLANITO-121
5041;3;RT3_POR;LLANITO-121
5042;3;RT3_POR;LLANITO-121
5042;3;RT3_POR;LLANITO-121
5043;2;RT3_POR;LLANITO-121
5043;1;RT3_POR;LLANITO-121
5044;1;RT3_POR;LLANITO-121
5044;1;RT3_POR;LLANITO-121
5045;1;RT3_POR;LLANITO-121
