Depth;Value;Metodo
200.0;0.0078063845;BPF
200.5;0.0074104425;BPF
201.0;0.0070275767;BPF
201.5;0.006657667;BPF
202.0;0.0063013807;BPF
202.5;0.0059570163;BPF
203.0;0.0056248046;BPF
203.5;0.005304556;BPF
204.0;0.0049951524;BPF
204.5;0.0046968856;BPF
205.0;0.0044091768;BPF
205.5;0.0041311705;BPF
206.0;0.0038632466;BPF
206.5;0.003604413;BPF
207.0;0.0033542165;BPF
207.5;0.0031130605;BPF
208.0;0.0028796445;BPF
208.5;0.0026539846;BPF
209.0;0.0024359636;BPF
209.5;0.0022247965;BPF
210.0;0.0020203728;BPF
210.5;0.0018224653;BPF
211.0;0.0016304827;BPF
211.5;0.0014444009;BPF
212.0;0.0012637641;BPF
212.5;0.0010882426;BPF
213.0;9.1787777E-4;BPF
213.5;7.5208745E-4;BPF
214.0;5.907716E-4;BPF
214.5;4.33888E-4;BPF
215.0;2.809348E-4;BPF
215.5;1.3190272E-4;BPF
216.0;-1.3262031E-5;BPF
216.5;-1.5495716E-4;BPF
217.0;-2.931643E-4;BPF
217.5;-4.2792884E-4;BPF
218.0;-5.595402E-4;BPF
218.5;-6.879194E-4;BPF
219.0;-8.131338E-4;BPF
219.5;-9.3528925E-4;BPF
220.0;-0.0010543907;BPF
220.5;-0.0011704868;BPF
221.0;-0.0012835354;BPF
221.5;-0.0013935263;BPF
222.0;-0.0015004576;BPF
222.5;-0.001604258;BPF
223.0;-0.0017048718;BPF
223.5;-0.001802354;BPF
224.0;-0.0018963914;BPF
224.5;-0.0019870382;BPF
225.0;-0.0020742686;BPF
225.5;-0.0021577717;BPF
226.0;-0.0022375612;BPF
226.5;-0.0023136334;BPF
227.0;-0.0023855623;BPF
227.5;-0.0024534839;BPF
228.0;-0.0025171111;BPF
228.5;-0.002576349;BPF
229.0;-0.0026311653;BPF
229.5;-0.002681161;BPF
230.0;-0.002726385;BPF
230.5;-0.0027668537;BPF
231.0;-0.0028019282;BPF
231.5;-0.0028318411;BPF
232.0;-0.0028565787;BPF
232.5;-0.0028755474;BPF
233.0;-0.0028890488;BPF
233.5;-0.0028968083;BPF
234.0;-0.0028985725;BPF
234.5;-0.002894571;BPF
235.0;-0.0028844662;BPF
235.5;-0.0028681308;BPF
236.0;-0.0028459185;BPF
236.5;-0.0028171325;BPF
237.0;-0.0027820983;BPF
237.5;-0.0027411506;BPF
238.0;-0.0026933076;BPF
238.5;-0.0026392953;BPF
239.0;-0.0025792138;BPF
239.5;-0.0025123844;BPF
240.0;-0.002439562;BPF
240.5;-0.0023605248;BPF
241.0;-0.0022752776;BPF
241.5;-0.002184257;BPF
242.0;-0.0020871914;BPF
242.5;-0.0019843385;BPF
243.0;-0.0018760501;BPF
243.5;-0.0017620828;BPF
244.0;-0.0016429572;BPF
244.5;-0.001518882;BPF
245.0;-0.0013897369;BPF
245.5;-0.0012561933;BPF
246.0;-0.0011183614;BPF
246.5;-9.7619335E-4;BPF
247.0;-8.304203E-4;BPF
247.5;-6.811386E-4;BPF
248.0;-5.2859605E-4;BPF
248.5;-3.7327706E-4;BPF
249.0;-2.1539982E-4;BPF
249.5;-5.5359076E-5;BPF
250.0;1.0643725E-4;BPF
250.5;2.6971856E-4;BPF
251.0;4.339948E-4;BPF
251.5;5.988496E-4;BPF
252.0;7.639527E-4;BPF
252.5;9.288637E-4;BPF
253.0;0.0010931853;BPF
253.5;0.0012564509;BPF
254.0;0.0014183045;BPF
254.5;0.0015782578;BPF
255.0;0.0017359261;BPF
255.5;0.0018909128;BPF
256.0;0.002042634;BPF
256.5;0.0021907836;BPF
257.0;0.0023349784;BPF
257.5;0.0024746615;BPF
258.0;0.0026095565;BPF
258.5;0.0027391897;BPF
259.0;0.0028631093;BPF
259.5;0.0029812383;BPF
260.0;0.0030928066;BPF
260.5;0.003197475;BPF
261.0;0.0032953168;BPF
261.5;0.0033854926;BPF
262.0;0.003467938;BPF
262.5;0.0035425;BPF
263.0;0.003608468;BPF
263.5;0.003665979;BPF
264.0;0.0037146776;BPF
264.5;0.0037541317;BPF
265.0;0.0037846002;BPF
265.5;0.003805438;BPF
266.0;0.0038166316;BPF
266.5;0.003818443;BPF
267.0;0.0038100514;BPF
267.5;0.0037918019;BPF
268.0;0.0037640189;BPF
268.5;0.0037257196;BPF
269.0;0.0036776778;BPF
269.5;0.0036198536;BPF
270.0;0.0035517095;BPF
270.5;0.0034741478;BPF
271.0;0.003386841;BPF
271.5;0.0032897976;BPF
272.0;0.0031836657;BPF
272.5;0.0030681023;BPF
273.0;0.0029436513;BPF
273.5;0.0028107294;BPF
274.0;0.0026689768;BPF
274.5;0.0025192506;BPF
275.0;0.0023619842;BPF
275.5;0.0021967874;BPF
276.0;0.0020248315;BPF
276.5;0.0018462634;BPF
277.0;0.0016610826;BPF
277.5;0.0014702457;BPF
278.0;0.0012741796;BPF
278.5;0.0010730312;BPF
279.0;8.6775346E-4;BPF
279.5;6.5846724E-4;BPF
280.0;4.459474E-4;BPF
280.5;2.3074709E-4;BPF
281.0;1.3135748E-5;BPF
281.5;-2.0585743E-4;BPF
282.0;-4.2600543E-4;BPF
282.5;-6.4658275E-4;BPF
283.0;-8.6704805E-4;BPF
283.5;-0.0010868415;BPF
284.0;-0.001305156;BPF
284.5;-0.0015215791;BPF
285.0;-0.0017354642;BPF
285.5;-0.0019461582;BPF
286.0;-0.0021531906;BPF
286.5;-0.0023557846;BPF
287.0;-0.0025533424;BPF
287.5;-0.002745527;BPF
288.0;-0.002931517;BPF
288.5;-0.003110952;BPF
289.0;-0.0032832858;BPF
289.5;-0.003447506;BPF
290.0;-0.0036037867;BPF
290.5;-0.0037514027;BPF
291.0;-0.0038895078;BPF
291.5;-0.0040182904;BPF
292.0;-0.004136814;BPF
292.5;-0.0042447145;BPF
293.0;-0.004342014;BPF
293.5;-0.00442792;BPF
294.0;-0.004502301;BPF
294.5;-0.004564953;BPF
295.0;-0.0046152207;BPF
295.5;-0.0046533863;BPF
296.0;-0.0046790093;BPF
296.5;-0.004691671;BPF
297.0;-0.0046918914;BPF
297.5;-0.004678838;BPF
298.0;-0.004652596;BPF
298.5;-0.0046137488;BPF
299.0;-0.004561594;BPF
299.5;-0.0044964114;BPF
300.0;-0.004418538;BPF
300.5;-0.004327592;BPF
301.0;-0.0042241663;BPF
301.5;-0.004108264;BPF
