POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-31;0.22;0.22;VSH;VPVS;0.72;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;GR;IP;0.677;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;GR;VPVS;0.672;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;VSH;IP;0.645;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;VPVS;-0.498;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;IP;-0.595;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;IP;-0.652;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;VPVS;-0.71;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;IP;0.802;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;IP;0.78;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;VPVS;0.59;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;VPVS;0.589;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;VPVS;-0.573;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;VPVS;-0.588;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;IP;-0.695;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;IP;-0.804;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
PROMETEO-1;-2.25;2.25;GR;IP;0.332;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;VSH;IP;0.304;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;POR;VPVS;0.264;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;PERM;VPVS;0.036;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;MOD_PSDM
