POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-31;0.22;0.22;GR;VPVS_SH-60;0.343;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;VSH;VPVS_SH-60;0.216;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;GR;IP_SH-60;0.144;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;VSH;IP_SH-60;0.022;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;IP_SH-60;-0.039;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;VPVS_SH-60;-0.234;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;IP_SH-60;-0.288;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;VPVS_SH-60;-0.468;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;VPVS_SH-60;0.485;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;VPVS_SH-60;0.454;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;IP_SH-60;0.344;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;IP_SH-60;0.295;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;IP_SH-60;-0.328;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;IP_SH-60;-0.342;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;VPVS_SH-60;-0.442;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;VPVS_SH-60;-0.487;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
PROMETEO-1;-2.25;2.25;GR;IP_SH-60;0.347;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;VSH;IP_SH-60;0.294;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;GR;VPVS_SH-60;-0.019;MTOMC - MTEE;POSITIVO;INCONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;VSH;VPVS_SH-60;-0.051;MTOMC - MTEE;POSITIVO;INCONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;POR;VPVS_SH-60;-0.112;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;PERM;VPVS_SH-60;-0.216;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;PERM;IP_SH-60;-0.383;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;POR;IP_SH-60;-0.449;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-112;2.46;2.46;POR;VPVS_SH-60;0.181;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;PERM;IP_SH-60;0.168;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;POR;IP_SH-60;0.156;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;GR;IP_SH-60;0.065;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;VSH;IP_SH-60;0.06;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;PERM;VPVS_SH-60;-0.169;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;VSH;VPVS_SH-60;-0.255;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;GR;VPVS_SH-60;-0.274;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;VSH;VPVS_SH-60;0.338;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;GR;VPVS_SH-60;0.281;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;VSH;IP_SH-60;0.03;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;POR;IP_SH-60;0.018;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;GR;IP_SH-60;-0.079;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;PERM;IP_SH-60;-0.104;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
