POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-31;0.22;0.22;GR;IP_SH60;0.634;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;VSH;IP_SH60;0.588;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;GR;VPVS_SH60;0.179;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;VSH;VPVS_SH60;0.167;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;VPVS_SH60;-0.081;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;VPVS_SH60;-0.167;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;PERM;IP_SH60;-0.47;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-31;0.22;0.22;POR;IP_SH60;-0.591;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;IP_SH60;0.172;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;IP_SH60;0.14;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;GR;VPVS_SH60;0.116;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;VSH;VPVS_SH60;0.082;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;VPVS_SH60;-0.023;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;PERM;IP_SH60;-0.06;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;VPVS_SH60;-0.079;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-28;0.58;0.58;POR;IP_SH60;-0.136;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
PROMETEO-1;-2.25;2.25;VSH;VPVS_SH60;0.753;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;GR;VPVS_SH60;0.695;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;VSH;IP_SH60;0.228;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;GR;IP_SH60;0.22;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;PERM;IP_SH60;-0.137;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;POR;IP_SH60;-0.178;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;PERM;VPVS_SH60;-0.27;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
PROMETEO-1;-2.25;2.25;POR;VPVS_SH60;-0.316;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-112;2.46;2.46;GR;IP_SH60;0.178;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;GR;VPVS_SH60;0.162;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;VSH;VPVS_SH60;0.158;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;VSH;IP_SH60;0.143;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;POR;VPVS_SH60;0.042;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;PERM;VPVS_SH60;0.011;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;POR;IP_SH60;-0.015;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-112;2.46;2.46;PERM;IP_SH60;-0.018;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;GR;VPVS_SH60;0.617;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;VSH;VPVS_SH60;0.582;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-108;3.76;3.76;GR;IP_SH60;0.36;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
