POZO;INTERVALO;DEPTH;RT3_Xplt;RT3_GR;RT3_IP_03;RT3_K;RT3_Por;RT3_VpVs_03;RT3_Vsh
LLANITO-7;MTOMC-MTEE;5000;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5005;3;2;1;2;2;1;3
LLANITO-7;MTOMC-MTEE;5010;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5015;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5020;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5025;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5030;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5035;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5040;3;2;1;1;1;1;2
LLANITO-7;MTOMC-MTEE;5045;3;3;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5050;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5055;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5060;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5065;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5070;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5075;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5080;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5085;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5090;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5095;3;2;1;1;1;1;2
LLANITO-7;MTOMC-MTEE;5100;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5105;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5110;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5115;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5120;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5125;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5130;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5135;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5140;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5145;3;2;1;1;1;1;2
LLANITO-7;MTOMC-MTEE;5150;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5155;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5160;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5165;3;2;1;1;2;1;2
LLANITO-7;MTOMC-MTEE;5170;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5175;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5180;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5185;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5190;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5195;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5200;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5205;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5210;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5215;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5220;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5225;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5230;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5235;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5240;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5245;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5250;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5255;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5260;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5265;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5270;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5275;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5280;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5285;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5290;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5295;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5300;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5305;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5310;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5315;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5320;3;1;1;1;1;1;1
LLANITO-7;MTOMC-MTEE;5325;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5330;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5335;3;1;1;1;1;1;2
LLANITO-7;MTOMC-MTEE;5340;3;2;1;1;1;1;2
LLANITO-7;MTOMC-MTEE;5345;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5350;3;3;1;3;3;1;3
LLANITO-7;MTOMC-MTEE;5355;3;2;1;3;2;1;3
LLANITO-7;MTOMC-MTEE;5360;3;2;1;1;2;3;2
LLANITO-7;MTOMC-MTEE;5365;3;2;1;3;2;3;3
LLANITO-7;MTOMC-MTEE;5370;3;3;1;3;2;3;3
LLANITO-7;MTOMC-MTEE;5375;3;2;1;3;2;3;3
LLANITO-7;MTOMC-MTEE;5380;3;1;1;1;1;3;1
