POZO;INTERVALO;DEPTH;RT3_XPLT;RT3_IP;RT3_PERM;RT3_POR;RT3_VPVS;RT3_VSH
LLANITO-28;MTOMC-MTEE;5000;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5005;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5010;3;1;1;1;1;2
LLANITO-28;MTOMC-MTEE;5015;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5020;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5025;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5030;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5035;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5040;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5045;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5050;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5055;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5060;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5065;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5070;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5075;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5080;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5085;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5090;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5095;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5100;3;1;1;1;1;2
LLANITO-28;MTOMC-MTEE;5105;3;1;1;1;1;2
LLANITO-28;MTOMC-MTEE;5110;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5115;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5120;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5125;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5130;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5135;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5140;3;1;1;1;1;2
LLANITO-28;MTOMC-MTEE;5145;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5150;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5155;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5160;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5165;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5170;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5175;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5180;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5185;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5190;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5195;3;1;1;1;1;2
LLANITO-28;MTOMC-MTEE;5200;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5205;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5210;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5215;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5220;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5225;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5230;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5235;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5240;3;1;3;2;1;3
LLANITO-28;MTOMC-MTEE;5245;3;1;1;1;1;1
LLANITO-28;MTOMC-MTEE;5250;3;1;3;3;1;3
LLANITO-28;MTOMC-MTEE;5255;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5260;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5265;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5270;2;1;3;2;3;3
LLANITO-28;MTOMC-MTEE;5275;3;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5280;3;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5285;3;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5290;3;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5295;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5300;2;1;3;1;3;3
LLANITO-28;MTOMC-MTEE;5305;2;1;3;2;3;3
LLANITO-28;MTOMC-MTEE;5310;2;1;3;2;3;3
LLANITO-28;MTOMC-MTEE;5315;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5320;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5325;3;1;1;1;3;2
LLANITO-28;MTOMC-MTEE;5330;3;1;1;1;3;1
LLANITO-28;MTOMC-MTEE;5335;3;1;1;1;3;1
LLANITO-28;MTOMC-MTEE;5340;2;1;3;3;3;3
LLANITO-28;MTOMC-MTEE;5345;2;1;3;3;3;3
